[INFO] [1785743900.989697206] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.8s)
[INFO] [1785743905.989963311] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.0s)
[INFO] [1785743914.989551094] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.9s)
[INFO] [1785743916.990183570] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.5s)
[INFO] [1785743923.989916619] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.6s)
[INFO] [1785743926.989451357] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.3s)
[INFO] [1785743932.989602588] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.6s)
[INFO] [1785743935.989433129] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.8s)
[INFO] [1785743939.989255290] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.1s)
[INFO] [1785743945.989819965] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.4s)
[INFO] [1785743948.989328013] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 2.0s)
[INFO] [1785744020.989820689] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.4s)
[INFO] [1785744031.990319344] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.9s)
[INFO] [1785744034.989835667] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.7s)
[INFO] [1785744036.990300957] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.5s)
[INFO] [1785744039.989488827] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.1s)
[INFO] [1785744042.989556617] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 2.0s)
[INFO] [1785744049.989538136] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.4s)
[INFO] [1785744051.990000551] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.2s)
[INFO] [1785744053.990245891] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.3s)
[INFO] [1785744057.989757591] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.1s)
[INFO] [1785744064.989429646] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.4s)
[INFO] [1785744066.989488320] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.4s)
[INFO] [1785744082.989573507] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.1s)
[INFO] [1785744088.989623333] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.6s)
[INFO] [1785744097.989397274] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.8s)
[INFO] [1785744102.989376146] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.5s)
[INFO] [1785744109.989416134] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.8s)
[INFO] [1785744118.989844630] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.3s)
[INFO] [1785744166.990052862] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.6s)
[INFO] [1785744187.990024483] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.1s)
[INFO] [1785744191.989444521] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.6s)
[INFO] [1785744198.989454336] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.1s)
[INFO] [1785744202.991489072] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.4s)
[INFO] [1785744222.989418586] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.4s)
[INFO] [1785744225.989542016] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.3s)
[INFO] [1785744250.989419170] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.3s)
[INFO] [1785744255.990094122] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.2s)
[INFO] [1785744258.989736003] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.4s)
[INFO] [1785744280.989826201] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.5s)
[INFO] [1785744284.989664569] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.0s)
[INFO] [1785744287.989356664] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 2.0s)
[INFO] [1785744289.990153357] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.3s)
[INFO] [1785744576.989570920] [trajectory_predictor]: [Predictor] Buffer cleared (no data for 1.1s)
